"Buffer","Model","AUC","Threshold","Sensitivity","Specificity","Accuracy","Kappa","TSS","N","Presences","Absences","Iteration","Seed"
"25km","Random forest",0.772,0.179,0.749,0.66,0.68,0.312,0.409,1455,335,1120,2,1002
"25km","GLM",0.683,0.285,0.487,0.793,0.722,0.263,0.279,1455,335,1120,3,1003
"25km","Random forest",0.818,0.189,0.809,0.656,0.691,0.348,0.465,1455,335,1120,3,1003
"25km","GLM",0.661,0.277,0.501,0.771,0.709,0.25,0.273,1455,335,1120,4,1004
"25km","Random forest",0.789,0.165,0.791,0.637,0.672,0.316,0.428,1455,335,1120,4,1004
"25km","GLM",0.673,0.357,0.406,0.885,0.775,0.314,0.291,1455,335,1120,5,1005
"25km","Random forest",0.771,0.175,0.743,0.671,0.687,0.319,0.414,1455,335,1120,5,1005
"25km","GLM",0.663,0.394,0.385,0.88,0.766,0.287,0.265,1455,335,1120,6,1006
"25km","Random forest",0.736,0.351,0.466,0.922,0.817,0.429,0.388,1455,335,1120,6,1006
"25km","GLM",0.685,0.356,0.439,0.859,0.762,0.307,0.298,1455,335,1120,7,1007
"25km","Random forest",0.812,0.249,0.666,0.798,0.768,0.414,0.464,1455,335,1120,7,1007
"25km","GLM",0.687,0.387,0.43,0.867,0.766,0.31,0.297,1455,335,1120,8,1008
"25km","Random forest",0.818,0.193,0.788,0.687,0.71,0.367,0.475,1455,335,1120,8,1008
"25km","GLM",0.659,0.344,0.448,0.808,0.725,0.248,0.256,1455,335,1120,9,1009
"25km","Random forest",0.792,0.187,0.767,0.649,0.676,0.313,0.416,1455,335,1120,9,1009
"25km","GLM",0.654,0.362,0.382,0.888,0.772,0.296,0.27,1455,335,1120,10,1010
"25km","Random forest",0.784,0.291,0.591,0.832,0.777,0.402,0.423,1455,335,1120,10,1010
